group,release_id,benchmark_slug,organization,model_name,release_date,benchmark_name,benchmark_release_date,family_id,family_rank,prior_release,prior_model_name,n_benchmarks_scored,independent_score,orbit_category,reported,reported_value,source_tier,source_url,source_date,variant_name,prior_model_reported,prior_source_url,reverse_gap,coder,flagged_for_review,notes
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,aider_polyglot,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Aider polyglot,2024-12-21,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,59.6,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,arc_agi,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,ARC-AGI,2019-11-05,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.11,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,arc_agi_2,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,ARC-AGI-2,2025-03-24,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.0125,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,fictionlivebench,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Fiction.LiveBench,2025-02-21,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.688,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,frontiermath,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,FrontierMath-2025-02-28-Private,2025-02-28,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.0848056537102473,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,frontiermath_tier_4,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,FrontierMath-Tier-4-2025-07-01-Private,2025-07-01,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.0,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,gpqa_diamond,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,GPQA diamond,2023-11-20,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.8005050505050505,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,lech_mazur_writing,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Lech Mazur Writing,2025-01-31,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,8.24,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,otis_mock_aime_2024_2025,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.8666666666666667,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,scicode,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,scicode,2024-07-18,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.423611111111111,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,weirdml,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,WeirdML,2025-01-16,Alibaba / Qwen 235B AB,2,Alibaba | Qwen3-235B-A22B | 2025-04-29,Qwen3-235B-A22B,15,0.4104,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,arc_ai2,Alibaba,Qwen2.5-72B,2024-09-19,ARC AI2,2018-03-14,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.945,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,bbh,Alibaba,Qwen2.5-72B,2024-09-19,BBH,2022-10-17,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.798,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,gpqa_diamond,Alibaba,Qwen2.5-72B,2024-09-19,GPQA diamond,2023-11-20,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.4914772727272727,,,,,,,,,,,,,
